0.0 0
0.0022056 4294967295
ssthresh 0.246459: 14280
ssthresh 0.24709: 14280
ssthresh 0.24772: 14280
ssthresh 0.24835: 14280
ssthresh 0.248981: 14280
ssthresh 0.249611: 14280
ssthresh 0.250242: 14280
ssthresh 0.250872: 14280
ssthresh 0.251502: 14280
ssthresh 0.252133: 14280
ssthresh 0.252763: 14280
ssthresh 0.253394: 14280
ssthresh 0.254024: 14280
ssthresh 0.254654: 14280
ssthresh 0.255285: 14280
ssthresh 0.255915: 14280
ssthresh 0.256546: 14280
ssthresh 0.257176: 14280
ssthresh 0.257806: 14280
ssthresh 0.258437: 14280
ssthresh 0.259067: 14280
ssthresh 0.259698: 14280
ssthresh 0.260328: 14280
ssthresh 0.260958: 14280
ssthresh 0.261589: 14280
ssthresh 0.262219: 14280
ssthresh 0.26285: 14280
ssthresh 0.26348: 14280
ssthresh 0.26411: 14280
ssthresh 0.264741: 14280
ssthresh 0.265371: 14280
ssthresh 0.266002: 14280
ssthresh 0.266632: 14280
ssthresh 0.267262: 14280
ssthresh 0.267893: 14280
ssthresh 0.268523: 14280
ssthresh 0.269154: 14280
ssthresh 0.269784: 14280
ssthresh 0.270414: 14280
ssthresh 0.271045: 14280
ssthresh 0.271675: 14280
ssthresh 0.272306: 14280
ssthresh 0.272936: 14280
ssthresh 0.273566: 14280
ssthresh 0.274197: 14280
ssthresh 0.274827: 14280
ssthresh 0.275458: 14280
ssthresh 0.276088: 14280
ssthresh 0.276718: 14280
ssthresh 0.277349: 14280
ssthresh 0.277979: 14280
ssthresh 0.27861: 14280
ssthresh 0.27924: 14280
ssthresh 0.27987: 14280
ssthresh 0.280501: 14280
ssthresh 0.281131: 14280
ssthresh 0.281762: 14280
ssthresh 0.282392: 14280
ssthresh 0.283022: 14280
ssthresh 0.283653: 14280
ssthresh 0.284283: 14280
ssthresh 0.284914: 14280
ssthresh 0.285544: 14280
ssthresh 0.286174: 14280
ssthresh 0.286805: 14280
ssthresh 0.287435: 14280
ssthresh 0.288066: 14280
ssthresh 0.288696: 14280
ssthresh 0.289326: 14280
ssthresh 0.289957: 14280
ssthresh 0.290587: 14280
ssthresh 0.291218: 14280
ssthresh 0.291848: 14280
ssthresh 0.292478: 14280
ssthresh 0.293109: 14280
ssthresh 0.293739: 14280
ssthresh 0.29437: 14280
ssthresh 0.295: 14280
ssthresh 0.29563: 14280
ssthresh 0.296261: 14280
ssthresh 0.296891: 14280
ssthresh 0.297522: 14280
ssthresh 0.298152: 14280
ssthresh 0.298782: 14280
ssthresh 0.299413: 14280
ssthresh 0.300043: 14280
ssthresh 0.300674: 14280
ssthresh 0.301304: 14280
ssthresh 0.301934: 14280
ssthresh 0.302565: 14280
ssthresh 0.303195: 14280
ssthresh 0.303826: 14280
ssthresh 0.304456: 14280
ssthresh 0.305086: 14280
ssthresh 0.305717: 14280
ssthresh 0.306347: 14280
ssthresh 0.306978: 14280
ssthresh 0.307608: 14280
ssthresh 0.308238: 14280
ssthresh 0.308869: 14280
ssthresh 0.309499: 14280
ssthresh 0.31013: 14280
ssthresh 0.31076: 14280
ssthresh 0.31139: 14280
ssthresh 0.312021: 14280
ssthresh 0.312651: 14280
ssthresh 0.313282: 14280
ssthresh 0.313912: 14280
ssthresh 0.314542: 14280
ssthresh 0.315173: 14280
ssthresh 0.315803: 14280
ssthresh 0.316434: 14280
ssthresh 0.317064: 14280
ssthresh 0.317694: 14280
ssthresh 0.318325: 14280
ssthresh 0.318955: 14280
ssthresh 0.319586: 14280
ssthresh 0.320216: 14280
ssthresh 0.320846: 14280
ssthresh 0.321477: 14280
ssthresh 0.322107: 14280
ssthresh 0.322738: 14280
ssthresh 0.323368: 14280
ssthresh 0.323998: 14280
ssthresh 0.324629: 14280
ssthresh 0.325259: 14280
ssthresh 0.32589: 14280
ssthresh 0.32652: 14280
ssthresh 0.32715: 14280
ssthresh 0.327781: 14280
ssthresh 0.328411: 14280
ssthresh 0.329042: 14280
ssthresh 0.329672: 14280
ssthresh 0.330302: 14280
ssthresh 0.330933: 14280
ssthresh 0.331563: 14280
ssthresh 0.332194: 14280
ssthresh 0.332824: 14280
ssthresh 0.333454: 14280
ssthresh 0.334085: 14280
ssthresh 0.334715: 14280
ssthresh 0.335346: 14280
ssthresh 0.335976: 14280
ssthresh 0.336606: 14280
ssthresh 0.337237: 14280
ssthresh 0.337867: 14280
ssthresh 0.338498: 14280
ssthresh 0.339128: 14280
ssthresh 0.339758: 14280
ssthresh 0.340389: 14280
ssthresh 0.341019: 14280
ssthresh 0.34165: 14280
ssthresh 0.34228: 14280
ssthresh 0.34291: 14280
ssthresh 0.343541: 14280
ssthresh 0.344171: 14280
ssthresh 0.344802: 14280
ssthresh 0.345432: 14280
ssthresh 0.346062: 14280
ssthresh 0.346693: 14280
ssthresh 0.347323: 14280
ssthresh 0.347954: 14280
ssthresh 0.348584: 14280
ssthresh 0.349214: 14280
ssthresh 0.349845: 14280
ssthresh 0.350475: 14280
ssthresh 0.351106: 14280
ssthresh 0.351736: 14280
ssthresh 0.352366: 14280
ssthresh 0.352997: 14280
ssthresh 0.353627: 14280
ssthresh 0.354258: 14280
ssthresh 0.354888: 14280
ssthresh 0.355518: 14280
ssthresh 0.356149: 14280
ssthresh 0.356779: 14280
ssthresh 0.35741: 14280
ssthresh 0.35804: 14280
ssthresh 0.35867: 14280
ssthresh 0.359301: 14280
ssthresh 0.359931: 14280
ssthresh 0.360562: 14280
ssthresh 0.361192: 14280
ssthresh 0.361822: 14280
ssthresh 0.362453: 14280
ssthresh 0.363083: 14280
ssthresh 0.363714: 14280
ssthresh 0.364344: 14280
ssthresh 0.364974: 14280
ssthresh 0.365605: 14280
ssthresh 0.366235: 14280
ssthresh 0.366866: 14280
ssthresh 0.367496: 14280
ssthresh 0.368126: 14280
ssthresh 0.368757: 14280
ssthresh 0.369387: 14280
ssthresh 0.370018: 14280
ssthresh 0.370648: 14280
ssthresh 0.371278: 14280
