0.0 0
cwnd 0.269154: 14617
cwnd 0.269784: 14624
cwnd 0.270414: 14631
cwnd 0.271045: 14638
cwnd 0.271675: 14645
cwnd 0.272306: 14652
cwnd 0.272936: 14659
cwnd 0.273566: 14666
cwnd 0.274197: 14673
cwnd 0.274827: 14680
cwnd 0.275458: 14687
cwnd 0.276088: 14694
cwnd 0.276718: 14701
cwnd 0.277349: 14708
cwnd 0.277979: 14715
cwnd 0.27861: 14722
cwnd 0.27924: 14729
cwnd 0.27987: 14736
cwnd 0.280501: 14743
cwnd 0.281131: 14750
cwnd 0.281762: 14757
cwnd 0.282392: 14764
cwnd 0.283022: 14771
cwnd 0.283653: 14778
cwnd 0.284283: 14785
cwnd 0.284914: 14792
cwnd 0.285544: 14799
cwnd 0.286174: 14806
cwnd 0.286805: 14813
cwnd 0.287435: 14820
cwnd 0.288066: 14827
cwnd 0.288696: 14834
cwnd 0.289326: 14841
cwnd 0.289957: 14848
cwnd 0.290587: 14855
cwnd 0.291218: 14862
cwnd 0.291848: 14869
cwnd 0.292478: 14876
cwnd 0.293109: 14883
cwnd 0.293739: 14890
cwnd 0.29437: 14897
cwnd 0.295: 14904
cwnd 0.29563: 14911
cwnd 0.296261: 14918
cwnd 0.296891: 14925
cwnd 0.297522: 14932
cwnd 0.298152: 14939
cwnd 0.298782: 14946
cwnd 0.299413: 14953
cwnd 0.300043: 14960
cwnd 0.300674: 14967
cwnd 0.301304: 14974
cwnd 0.301934: 14981
cwnd 0.302565: 14988
cwnd 0.303195: 14995
cwnd 0.303826: 15002
cwnd 0.304456: 15009
cwnd 0.305086: 15016
cwnd 0.305717: 15023
cwnd 0.306347: 15030
cwnd 0.306978: 15037
cwnd 0.307608: 15044
cwnd 0.308238: 15051
cwnd 0.308869: 15058
cwnd 0.309499: 15065
cwnd 0.31013: 15072
cwnd 0.31076: 15079
cwnd 0.31139: 15086
cwnd 0.312021: 15093
cwnd 0.312651: 15100
cwnd 0.313282: 15107
cwnd 0.313912: 15114
cwnd 0.314542: 15121
cwnd 0.315173: 15128
cwnd 0.315803: 15135
cwnd 0.316434: 15142
cwnd 0.317064: 15149
cwnd 0.317694: 15156
cwnd 0.318325: 15163
cwnd 0.318955: 15170
cwnd 0.319586: 15177
cwnd 0.320216: 15184
cwnd 0.320846: 15191
cwnd 0.321477: 15198
cwnd 0.322107: 15205
cwnd 0.322738: 15212
cwnd 0.323368: 15219
cwnd 0.323998: 15226
cwnd 0.324629: 15233
cwnd 0.325259: 15240
cwnd 0.32589: 15247
cwnd 0.32652: 15254
cwnd 0.32715: 15261
cwnd 0.327781: 15268
cwnd 0.328411: 15275
cwnd 0.329042: 15282
cwnd 0.329672: 15289
cwnd 0.330302: 15296
cwnd 0.330933: 15303
cwnd 0.331563: 15310
cwnd 0.332194: 15317
cwnd 0.332824: 15324
cwnd 0.333454: 15331
cwnd 0.334085: 15338
cwnd 0.334715: 15345
cwnd 0.335346: 15352
cwnd 0.335976: 15359
cwnd 0.336606: 15366
cwnd 0.337237: 15373
cwnd 0.337867: 15380
cwnd 0.338498: 15387
cwnd 0.339128: 15394
cwnd 0.339758: 15401
cwnd 0.340389: 15408
cwnd 0.341019: 15415
cwnd 0.34165: 15422
cwnd 0.34228: 15429
cwnd 0.34291: 15436
cwnd 0.343541: 15443
cwnd 0.344171: 15450
cwnd 0.344802: 15457
